X,Y
0.0000,610.961
0.6061,3979.044
1.2121,4021.261
1.8182,2454.019
2.4242,1964.220
3.0303,1677.685
3.6364,1356.461
4.2424,1253.894
4.8485,1130.196
5.4545,1055.983
6.0606,934.205
6.6667,786.619
7.2727,758.340
7.8788,747.840
8.4849,626.273
9.0909,519.823
9.6970,482.626
10.3030,363.133
10.9091,176.075
11.5152,232.399
12.1212,363.662
12.7273,339.860
13.3333,357.414
13.9394,424.194
14.5455,376.891
15.1515,347.633
15.7576,366.482
16.3636,246.688
16.9697,220.300
17.5758,318.962
18.1818,287.115
18.7879,235.774
19.3940,233.199
20.0000,98.956
20.6061,66.043
21.2121,213.554
21.8182,328.677
22.4243,353.508
23.0303,216.709
23.6364,498.880
24.2424,1963.836
24.8485,3888.842
25.4546,4787.674
26.0606,4622.790
26.6667,3285.259
27.2727,1308.920
27.8788,223.709
28.4849,368.142
29.0909,402.111
29.6970,254.765
30.3030,177.307
30.9091,139.003
31.5152,836.439
32.1212,2709.563
32.7273,4982.768
33.3334,6338.826
33.9394,6636.271
34.5455,6447.229
35.1515,5254.211
35.7576,2632.198
36.3637,476.352
36.9697,107.520
37.5758,312.928
38.1818,236.305
38.7879,259.466
39.3940,312.610
40.0000,266.578
40.6061,254.348
41.2121,413.944
41.8182,464.488
42.4243,253.879
43.0303,278.395
43.6364,529.317
44.2425,566.080
44.8485,429.546
45.4546,290.615
46.0606,589.510
46.6667,777.545
47.2728,289.770
47.8788,286.496
48.4849,855.340
49.0909,696.799
49.6970,518.594
50.3031,795.654
50.9091,667.741
51.5152,639.376
52.1212,1003.319
52.7273,990.155
53.3334,951.670
53.9394,1252.504
54.5455,1428.544
55.1516,1604.031
55.7576,1712.291
56.3637,1982.372
56.9697,2467.594
57.5758,3342.812
58.1819,5382.679
58.7879,6190.130
59.3940,3600.337
60.0000,521.341
