#,theta1,phi1,theta2,phi2
,1.74963,-0.627683,1.46629,-0.745114
,2.82166,-2.73451,1.36545,2.50285
,1.8539,-0.681693,1.67088,-3.00496
,1.16912,0.837008,0.511707,2.77715
,1.58835,-2.64103,0.885959,1.1757
,1.20152,0.655673,2.06168,2.0625
,2.43009,2.09496,0.609229,1.62133
,2.91672,2.78654,1.81952,-2.77161
,1.73159,-2.14107,1.67287,-2.71687
,0.484342,-3.10782,0.851346,-1.87683
,0.444689,0.742372,1.77819,-2.70474
,1.90356,0.183454,1.15547,1.46974
,2.04925,-2.10344,2.67182,-2.894
,0.663126,1.65694,0.677866,2.28279
,0.217001,0.878858,2.6537,1.68377
,0.381874,-0.602152,1.74706,0.971467
,0.917808,-1.37171,0.298347,2.71195
,0.29474,1.70032,1.7221,2.03474
,1.29236,-0.0983983,1.64391,-2.96486
,0.530863,1.05,1.74357,0.172853
,0.641744,1.25869,0.222403,-2.43825
,0.586174,-1.21799,0.835027,-0.405972
,2.19007,2.36075,0.201152,1.58972
,1.88304,-2.48117,1.94993,-2.20293
,0.772555,0.773203,0.353407,0.665626
,1.87215,-1.1196,1.18403,-1.8929
,0.959355,-0.342028,1.94867,2.45321
,0.546077,1.85404,2.05468,1.7358
,2.19807,0.630636,0.666627,-3.0633
,0.19951,3.08021,0.879401,0.179339
,1.24655,2.27678,1.89061,3.04518
,0.314527,-1.76988,2.17486,2.33367
,0.976972,-1.12135,0.577624,1.75361
,1.17697,2.50551,2.33795,-0.744188
,1.26674,1.20809,2.2313,1.71445
,1.06347,-2.12161,2.09779,2.94466
,1.14547,-1.9126,1.18696,-2.43636
,1.0102,-2.13364,1.26443,2.28714
,0.762493,-2.85712,0.737854,2.48596
,0.636853,2.94958,1.12103,1.96821
,0.861162,2.92957,2.7086,2.50557
,0.236031,-2.4776,0.506221,0.992418
,0.985879,-2.82907,0.953883,-0.00891351
,0.492533,0.409025,1.61047,-1.68915
,0.673766,2.44736,1.36081,-1.33223
,0.390932,-0.395915,2.33754,1.85126
,0.521409,0.37516,0.488915,2.11282
,1.99373,-0.0301893,0.845851,1.00095
,2.1373,2.64303,2.86321,-1.79281
,1.55807,-2.72112,0.331976,-1.83918
,0.345335,0.879843,1.6784,2.76527
,0.683545,0.643803,2.39241,-2.03856
,2.40462,2.6635,0.215874,1.14398
,2.76754,2.17576,1.66453,-1.12177
,0.902582,0.952714,0.154848,-1.51235
,1.25322,0.847482,0.587569,-1.76622
