X,Y
0.0000,-7443.509
0.6061,-910.055
1.2121,-561.071
1.8182,-378.127
2.4242,-863.427
3.0303,-656.852
3.6364,-1120.207
4.2424,-1663.071
4.8485,-1607.340
5.4545,-1762.816
6.0606,-1327.689
6.6667,-979.810
7.2727,-1153.609
7.8788,-927.154
8.4849,-1303.824
9.0909,-1723.310
9.6970,-1707.561
10.3030,-2125.352
10.9091,-1753.927
11.5152,-2308.178
12.1212,-2189.847
12.7273,-1646.213
13.3333,-1852.686
13.9394,-901.608
14.5455,-567.276
15.1515,-978.587
15.7576,-614.195
16.3636,-708.850
16.9697,-1030.161
17.5758,-403.631
18.1818,-282.770
18.7879,-421.736
19.3940,-523.362
20.0000,-402.005
20.6061,-505.289
21.2121,93.996
21.8182,24460.777
22.4243,82787.164
23.0303,113784.391
23.6364,74993.359
24.2424,18008.887
24.8485,-4143.049
25.4546,-3286.278
26.0606,-2581.086
26.6667,-2890.233
27.2727,-36.721
27.8788,-281.496
28.4849,-4438.290
29.0909,-2996.322
29.6970,-1767.805
30.3030,-3984.324
30.9091,-3317.865
31.5152,-1728.711
32.1212,-743.757
32.7273,-4893.647
33.3334,4615.450
33.9394,79085.852
34.5455,189395.062
35.1515,255638.141
35.7576,286295.844
36.3637,305479.844
36.9697,299249.594
37.5758,270719.625
38.1818,195984.781
38.7879,78439.977
39.3940,7670.760
40.0000,254.182
40.6061,59.600
41.2121,-1288.479
41.8182,685.940
42.4243,-1673.339
43.0303,-1268.874
43.6364,-881.971
44.2425,-2139.023
44.8485,-1156.422
45.4546,-806.437
46.0606,-960.135
46.6667,-431.628
47.2728,-1043.199
47.8788,-1318.496
48.4849,-577.959
49.0909,-1610.073
49.6970,-198.502
50.3031,29.753
50.9091,-445.417
51.5152,-60.977
52.1212,-655.882
52.7273,-1263.248
53.3334,-1386.443
53.9394,-2502.076
54.5455,-2423.146
55.1516,-2312.884
55.7576,-2925.740
56.3637,-2855.200
56.9697,-2774.455
57.5758,-2538.952
58.1819,-2234.412
58.7879,-1856.505
59.3940,-1340.168
60.0000,-5345.709
