X,Y
0.0000,-20013.445
0.6061,-6221.349
1.2121,-3198.731
1.8182,-3641.932
2.4242,-3477.142
3.0303,-2917.113
3.6364,-2961.564
4.2424,-2894.009
4.8485,-2577.213
5.4545,-2607.701
6.0606,-2579.869
6.6667,-2491.152
7.2727,-2897.083
7.8788,-2790.128
8.4849,-3491.625
9.0909,-4135.455
9.6970,-4165.417
10.3030,-4170.642
10.9091,-3768.256
11.5152,-2849.196
12.1212,-2477.824
12.7273,-1600.888
13.3333,-563.882
13.9394,-782.788
14.5455,-625.035
15.1515,-541.104
15.7576,152.607
16.3636,106.973
16.9697,-916.657
17.5758,-643.781
18.1818,-485.984
18.7879,-1333.231
19.3940,-382.527
20.0000,-587.029
20.6061,-44.657
21.2121,1090.157
21.8182,-251.881
22.4243,377.214
23.0303,-1651.884
23.6364,7906.850
24.2424,63342.324
24.8485,139566.078
25.4546,173983.562
26.0606,164638.391
26.6667,114938.492
27.2727,40655.098
27.8788,622.513
28.4849,2693.192
29.0909,629.242
29.6970,-291.754
30.3030,3675.249
30.9091,-2078.553
31.5152,17576.229
32.1212,92961.352
32.7273,182399.344
33.3334,229133.781
33.9394,235264.188
34.5455,227815.562
35.1515,179517.094
35.7576,83618.008
36.3637,14102.752
36.9697,878.740
37.5758,-643.076
38.1818,-2969.373
38.7879,1638.463
39.3940,2355.212
40.0000,866.871
40.6061,1284.234
41.2121,385.575
41.8182,1160.682
42.4243,423.127
43.0303,-1099.535
43.6364,111.112
44.2425,106.916
44.8485,2.652
45.4546,87.503
46.0606,-438.163
46.6667,-318.449
47.2728,-1024.253
47.8788,-1252.892
48.4849,-412.249
49.0909,78.627
49.6970,-267.420
50.3031,-573.951
50.9091,-1059.262
51.5152,-1511.361
52.1212,-1315.302
52.7273,-1349.241
53.3334,-1807.712
53.9394,-1368.771
54.5455,-1469.129
55.1516,-1239.254
55.7576,-375.126
56.3637,91.509
56.9697,934.901
57.5758,1519.195
58.1819,1904.805
58.7879,2330.344
59.3940,-5613.507
60.0000,-16954.070
